Querying Data... done
(Account.Vertical__c),IsWon,count(Id),sum(Grand_Total__c),avg(Grand_Total__c)
,false,,,
,true,,,
,false,,,
,true,,,
,false,,,
,true,,,
,false,,,
,true,,,
,false,,,
,true,,,
,false,,,
,true,,,
,false,,,
,true,,,
,false,,,
,true,,,
,false,,,
,true,,,
,false,,,
,true,,,
